date,area
2022-07-28,124103.94075760257
2022-07-29,124103.94075760257
2022-07-30,124103.94075760257
2022-07-31,124103.94075760257
2022-08-01,124103.94075760257
2022-08-02,124108.39494583898
2022-08-03,124194.58197331277
2022-08-04,124223.70065219488
2022-08-05,124163.37316740921
2022-08-06,124163.37316740921
2022-08-07,124163.37316740921
2022-08-08,124163.37316740921
2022-08-09,124122.79745488163
2022-08-10,124159.74603152764
2022-08-11,124159.74603152764
2022-08-12,124159.74603152764
2022-08-13,124159.74603152764
2022-08-14,124159.74603152764
2022-08-15,124159.74603152764
2022-08-16,124159.74603152764
2022-08-17,124159.74603152764
2022-08-18,124159.74603152764
2022-08-19,124159.74603152764
2022-08-20,124159.74603152764
2022-08-21,124159.74603152764
2022-08-22,124731.07776134348
2022-08-23,124731.07776134348
2022-08-24,124807.30268017133
2022-08-25,124807.30268017133
2022-08-26,124807.30268017133
2022-08-27,124912.0919189215
2022-08-28,124912.0919189215
2022-08-29,124912.0919189215
2022-08-30,124912.0919189215
2022-08-31,124911.07665826527
2022-09-01,124916.13350936292
2022-09-02,124729.93475326574
2022-09-03,124729.93475326574
2022-09-04,124720.05505522818
2022-09-05,124617.50121574658
2022-09-06,124534.37914570855
2022-09-07,124314.09881559672
2022-09-08,123094.30248998277
2022-09-09,123094.30248998277
2022-09-10,119454.21155263856
2022-09-11,116028.96046024156
2022-09-12,116028.96046024156
2022-09-13,116028.96046024156
2022-09-14,115983.80469005133
2022-09-15,115983.80469005133
2022-09-16,115983.80469005133
2022-09-17,115983.80469005133
2022-09-18,115958.94122351106
2022-09-19,115762.119353194
2022-09-20,115689.90890250445
2022-09-21,115689.90890250445
2022-09-22,115613.36186453306
2022-09-23,115563.68726222726
2022-09-24,115563.68726222726
2022-09-25,115480.79468551136
2022-09-26,115390.87753579239
2022-09-27,115291.59717983435
2022-09-28,115265.99646222976
2022-09-29,115246.61494969783
2022-09-30,114917.04694946154
2022-10-01,114917.04694946154
2022-10-02,114069.31657811897
2022-10-03,112543.91628851304
2022-10-04,111572.26587442814
2022-10-05,111408.64379993
2022-10-06,111408.64379993
2022-10-07,111428.29427905714
2022-10-08,111428.29427905714
2022-10-09,111255.94133513299
2022-10-10,111255.94133513299
2022-10-11,111242.418526904
2022-10-12,111203.6492789877
2022-10-13,111203.6492789877
2022-10-14,111203.6492789877
2022-10-15,111178.73736868241
2022-10-16,111178.73736868241
2022-10-17,111499.07906952791
2022-10-18,111523.38359779408
2022-10-19,111670.75296349119
2022-10-20,111670.75296349119
2022-10-21,111670.75296349119
2022-10-22,111670.75296349119
2022-10-23,111670.75296349119
2022-10-24,111662.22124373331
2022-10-25,111662.22124373331
2022-10-26,111631.5512210862
2022-10-27,111631.5512210862
2022-10-28,111631.5512210862
2022-10-29,111631.5512210862
2022-10-30,111631.5512210862
2022-10-31,111613.2823594593
2022-11-01,111613.2823594593
2022-11-02,111613.2823594593
2022-11-03,111528.76593807763
2022-11-04,111528.76593807763
2022-11-05,111528.76593807763
2022-11-06,111528.76593807763
2022-11-07,111561.6060470298
2022-11-08,111561.6060470298
2022-11-09,111544.46810193777
2022-11-10,110433.22444720604
2022-11-11,107360.68978770355
2022-11-12,107782.03081761394
2022-11-13,107813.51044766436
2022-11-14,107813.51044766436
2022-11-15,107813.51044766436
2022-11-16,107813.51044766436
2022-11-17,107813.51044766436
2022-11-18,107833.38869300079
2022-11-19,107833.38869300079
2022-11-20,107833.38869300079
2022-11-21,107833.38869300079
2022-11-22,107833.38869300079
2022-11-23,107833.38869300079
2022-11-24,107833.38869300079
2022-11-25,107833.38869300079
2022-11-26,107833.38869300079
2022-11-27,107833.38869300079
2022-11-28,107858.59032322324
2022-11-29,107858.59032322324
2022-11-30,107832.63709622154
2022-12-01,107832.63709622154
2022-12-02,107754.23453520396
2022-12-03,107754.23453520396
2022-12-04,107754.23453520396
2022-12-05,107754.23453520396
2022-12-06,107754.23453520396
2022-12-07,107754.23453520396
2022-12-08,107754.23453520396
2022-12-09,107754.23453520396
2022-12-10,107754.23453520396
2022-12-11,107754.23453520396
2022-12-12,107754.23453520396
2022-12-13,107754.23453520396
2022-12-14,107754.23453520396
2022-12-15,107754.23453520396
2022-12-16,107754.23453520396
2022-12-17,107754.23453520396
2022-12-18,107754.23453520396
2022-12-19,107754.23453520396
2022-12-20,107754.23453520396
2022-12-21,107706.81358652505
2022-12-22,107706.81358652505
2022-12-23,107706.81358652505
2022-12-24,107706.81358652505
2022-12-25,107706.81358652505
2022-12-26,107706.81358652505
2022-12-27,107706.81358652505
2022-12-28,107709.14942918246
2022-12-29,107655.66238260017
2022-12-30,107655.66238260017
2022-12-31,107655.66238260017
2023-01-01,107561.90482241684
2023-01-02,107561.90482241684
2023-01-03,107561.90482241684
2023-01-04,107561.90482241684
2023-01-05,107561.90482241684
2023-01-06,107576.54232087452
2023-01-07,107590.23508087095
2023-01-08,107590.23508087095
2023-01-09,107590.23508087095
2023-01-10,107582.86942923312
2023-01-11,107582.86942923312
2023-01-12,107602.85558805044
2023-01-13,107621.06290421961
2023-01-14,107621.06290421961
2023-01-15,107625.9439283939
2023-01-16,107628.04522491936
2023-01-17,107628.04522491936
2023-01-18,107628.04522491936
2023-01-19,107628.04522491936
2023-01-20,107691.53555520481
2023-01-21,107691.53555520481
2023-01-22,107691.53555520481
2023-01-23,107691.53555520481
2023-01-24,107646.77598764724
2023-01-25,107656.29506498974
2023-01-26,107660.21636469179
2023-01-27,107660.21636469179
2023-01-28,107660.21636469179
2023-01-29,107660.21636469179
2023-01-30,107673.94716241836
2023-01-31,107673.94716241836
2023-02-01,107673.94716241836
2023-02-02,107673.94716241836
2023-02-03,107673.94716241836
2023-02-04,107673.94716241836
2023-02-05,107673.94716241836
2023-02-06,107673.94716241836
2023-02-07,107673.94716241836
2023-02-08,107722.49946249904
2023-02-09,107873.29019145106
2023-02-10,107873.29019145106
2023-02-11,107873.29019145106
2023-02-12,108046.24144233527
2023-02-13,108046.24144233527
2023-02-14,108046.24144233527
2023-02-15,108056.43340934403
2023-02-16,108056.43340934403
2023-02-17,108056.43340934403
2023-02-18,108056.43340934403
2023-02-19,108065.8472694203
2023-02-20,108065.8472694203
2023-02-21,108065.8472694203
2023-02-22,108065.8472694203
2023-02-23,108065.8472694203
2023-02-24,108072.7977698903
2023-02-25,108077.42821806092
2023-02-26,108077.42821806092
2023-02-27,108086.31789479202
2023-02-28,108086.31789479202
2023-03-01,108097.75432954435
2023-03-02,108097.75432954435
2023-03-03,108115.20070824823
2023-03-04,108115.20070824823
2023-03-05,108115.20070824823
2023-03-06,108120.47765897395
2023-03-07,108120.47765897395
2023-03-08,108127.6082404009
2023-03-09,108127.6082404009
2023-03-10,108127.6082404009
